fromNode,toNode,value,interaction_type,selfLoop,label,guid
uinteger,gettype,2,,False,,10435
uinteger,public,6,,False,,10436
uinteger,friend,1,,False,,10437
uinteger,structure,2,,False,,10438
uinteger,byref,1,,False,,10439
overrides,drawimageunscaled,3,,False,,1044
uinteger,implements,1,,False,,10440
uinteger,marshalas,1,,False,,10441
uinteger,call,1,,False,,10442
uinteger,boolean,3,,False,,10443
uinteger,function,1,,False,,10444
uinteger,dim,3,,False,,10445
touint64,return,1,,False,,10446
touint64,provider,1,,False,,10447
ulong,gettype,1,,False,,10448
ulong,implements,1,,False,,10449
overrides,drawlines,1,,False,,1045
ulong,call,1,,False,,10450
todecimal,provider,1,,False,,10451
todatetime,provider,1,,False,,10452
totype,conversiontype,1,,False,,10453
conversiontype,type,1,,False,,10454
scientificnotation,powerlog10,2,,False,,10455
powerlog10,inf,2,,False,,10456
log10,sys,3,,False,,10457
ldlibpathenv,msg,1,,False,,10458
power,call,1,,False,,10459
overrides,drawpie,3,,False,,1046
intpower,int,1,,False,,10460
propertynames,objects,1,,False,,10461
propertynames,indexof,4,,False,,10462
propertynames,string,2,,False,,10463
propertynames,op,1,,False,,10464
evaluate,linq,2,,False,,10465
evaluate,equals,1,,False,,10466
evaluate,func,3,,False,,10467
evaluate,toarray,1,,False,,10468
evaluate,evaluate,2,,True,,10469
overrides,drawpolygon,1,,False,,1047
evaluate,ienumerable,1,,False,,10470
evaluate,dim,1,,False,,10471
dimnotagree,integer,1,,False,,10472
inspecttype,type,2,,False,,10473
typecache,typecache,1,,True,,10474
typecache,type,3,,False,,10475
typecache,dictionary,1,,False,,10476
typecache,containskey,1,,False,,10477
newline,public,1,,False,,10478
newline,ascii,1,,False,,10479
overrides,drawrectangle,3,,False,,1048
newline,vblf,1,,False,,10480
newline,environment,1,,False,,10481
newline,string,1,,False,,10482
expressions,namespace,2,,False,,10483
expressions,public,3,,False,,10484
expressions,imports,6,,False,,10485
tryinvoke,callparameters,2,,False,,10486
compile,return,1,,False,,10487
compile,func,12,,False,,10488
compile,tdelegate,5,,False,,10489
overrides,drawrectangles,1,,False,,1049
compile,function,1,,False,,10490
compile,action,7,,False,,10491
paramlogutility,public,1,,False,,10492
variable,error,1,,False,,10493
variable,ld,2,,False,,10494
getframe,getmethod,2,,False,,10495
acquire,paramarray,1,,False,,10496
acquire,providedparameters,1,,False,,10497
providedparameters,expression,2,,False,,10498
currentmethod,methodbase,1,,False,,10499
deque,deque,3,,True,,105
overrides,enumeratemetafile,35,,False,,1050
aexpression,body,2,,False,,10500
set,microsoft,2,,False,,10501
set,remove,1,,False,,10502
set,integer,13,,False,,10503
set,length,1,,False,,10504
set,count,2,,False,,10505
set,var,1,,False,,10506
set,message,1,,False,,10507
set,ns,1,,False,,10508
set,xmlcomment,1,,False,,10509
overrides,excludeclip,1,,False,,1051
set,property,123,,False,,10510
set,string,20,,False,,10511
set,return,10,,False,,10512
set,toarray,2,,False,,10513
set,s1,2,,False,,10514
set,s2,11,,False,,10515
set,sortedset,1,,False,,10516
set,mybase,3,,False,,10517
set,list,8,,False,,10518
set,set,15,,True,,10519
overrides,fillclosedcurve,5,,False,,1052
set,object,5,,False,,10520
set,key,3,,False,,10521
set,call,4,,False,,10522
set,reparse,1,,False,,10523
set,ienumerable,2,,False,,10524
set,data,1,,False,,10525
set,seed,1,,False,,10526
set,methodimpl,1,,False,,10527
set,equal,1,,False,,10528
set,boolean,7,,False,,10529
overrides,fillellipse,3,,False,,1053
set,progress,1,,False,,10530
set,double,5,,False,,10531
set,buffer,2,,False,,10532
set,system,3,,False,,10533
set,item,2,,False,,10534
set,dim,8,,False,,10535
